id,fold,train_end,validation_start,validation_end,games,accuracy,log_loss,brier,conf_55_games,conf_55_accuracy,conf_60_games,conf_60_accuracy
9,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5258215962441315,0.8199670478513389,0.5330745986765272,205,0.5414634146341464,76,0.5131578947368421
10,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.515695067264574,0.8340449003721606,0.5456985564038122,239,0.5104602510460251,149,0.5302013422818792
10,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5234741784037559,0.8447455809851725,0.5354099080176716,218,0.5321100917431193,99,0.5252525252525253
11,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5134529147982063,0.7808967316488629,0.5189817047187716,106,0.5754716981132075,19,0.5789473684210527
11,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5563380281690141,0.7950003767193428,0.5204302230496444,151,0.543046357615894,33,0.5757575757575758
12,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5224215246636771,0.7948407991816769,0.5277359128005351,170,0.5176470588235295,66,0.5454545454545454
12,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.539906103286385,0.7969440252208063,0.5223255544627059,189,0.5291005291005291,62,0.5806451612903226
13,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5112107623318386,0.7759196850948546,0.5150296286924376,94,0.5425531914893617,29,0.7241379310344828
13,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5492957746478874,0.7957988787840344,0.5213925102425293,120,0.6166666666666667,17,0.5294117647058824
14,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5269058295964125,0.7763493779115682,0.515386441943641,64,0.59375,9,0.4444444444444444
14,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5446009389671361,0.7961358205825075,0.521499299640083,130,0.5307692307692308,20,0.6
15,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5179372197309418,0.7872161760973198,0.5226712648321621,142,0.5422535211267606,52,0.5192307692307693
15,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5563380281690141,0.8016616360597711,0.526144319417015,181,0.5193370165745856,52,0.5576923076923077
16,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5269058295964125,0.8076066828409536,0.53221310070707,209,0.5215311004784688,102,0.5588235294117647
16,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5234741784037559,0.8225557602015339,0.535781221862663,209,0.5358851674641149,80,0.5125
17,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.515695067264574,0.8379357987999967,0.5474643506614999,248,0.5161290322580645,157,0.535031847133758
17,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5164319248826291,0.8480500601313303,0.5387598097506112,235,0.5361702127659574,102,0.5392156862745098
18,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5246636771300448,0.7804806947927508,0.5186028384868011,107,0.5794392523364486,18,0.5555555555555556
18,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5586854460093896,0.7968122211130213,0.5221662980261377,157,0.5095541401273885,33,0.5757575757575758
19,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5224215246636771,0.7946020108908809,0.5276014620646173,166,0.5180722891566265,69,0.5362318840579711
19,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5516431924882629,0.7994166798957121,0.5246980251653314,192,0.5260416666666666,59,0.576271186440678
20,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.515695067264574,0.7754709443883282,0.5147249370962486,96,0.5729166666666666,27,0.7037037037037037
20,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5352112676056338,0.7974053165102737,0.5221692340866295,126,0.5714285714285714,12,0.4166666666666667
