outer_fold,linear,tree,run,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,guardrails
1,0.25,0.2,0.55,368,0.5543478260869565,0.5625320735351829,0.6925588385323604,272,155,0.5698529411764706,0.5104446791379107,183,105,0.5737704918032787,0.5013270624105493,2.656870348351582,2,0.010219937843652882,0.46302723174527716,3.099457704409553,False,False
1,0.25,0.25,0.5,368,0.5516304347826086,0.5630754369547499,0.6888524605352725,262,151,0.5763358778625954,0.5158215946545855,161,93,0.577639751552795,0.5004049570728791,2.6589196488819944,2,0.007872800246989775,0.4597200056030372,3.1028940539910517,False,False
1,0.25,0.30000000000000004,0.44999999999999996,368,0.5625,0.5636489872309596,0.6856838103375378,260,150,0.5769230769230769,0.5161778788860999,144,86,0.5972222222222222,0.5155952900234319,2.723016973081607,2,0.008296353463245199,0.4744901519219834,3.1809144180771,False,False
1,0.25,0.35000000000000003,0.39999999999999997,368,0.5597826086956522,0.5653696380595888,0.6830246612532441,249,143,0.5742971887550201,0.5122107349241223,137,82,0.5985401459854015,0.5148500312284225,2.71657334074417,2,0.013113006396588467,0.46881000069946455,3.1591573286504575,False,False
1,0.25,0.4,0.35,368,0.5788043478260869,0.5661243094756543,0.6808520406337749,236,135,0.5720338983050848,0.5082500163130449,118,73,0.6186440677966102,0.5285752066363015,2.7719785971394098,2,0.02947943629565719,0.46499566253828867,3.178015387086384,False,False
1,0.25,0.45,0.3,368,0.5842391304347826,0.567814773447641,0.6791473887486108,218,130,0.5963302752293578,0.530076492009685,97,61,0.6288659793814433,0.52953581425912,2.7995825294176915,2,0.02978723404255318,0.46181189102759373,3.201819952360179,False,True
1,0.25,0.5,0.25,368,0.592391304347826,0.568992060856703,0.6778959364700793,201,122,0.6069651741293532,0.5380416618593978,74,45,0.6081081081081081,0.49419310534999833,2.6684107750919517,2,0.0076923076923077205,0.4357241958151947,3.088750355522531,False,True
1,0.25,0.55,0.19999999999999996,368,0.5896739130434783,0.5698372928426964,0.6770862451554509,186,114,0.6129032258064516,0.5412915906671807,61,36,0.5901639344262295,0.46499566253828867,2.5547429622507494,2,0.03104575163398693,0.3731271947957688,2.865778653778544,False,True
1,0.25,0.6000000000000001,0.1499999999999999,368,0.5842391304347826,0.5720409333776074,0.6767098710623651,168,105,0.625,0.5497668160274497,40,27,0.675,0.52017458088898,2.783583271471136,2,0.026645768025078398,0.35379677689163724,3.0840885123126163,False,True
1,0.25,0.65,0.09999999999999998,368,0.5815217391304348,0.5724333625139614,0.6767611291663506,160,99,0.61875,0.5415420671016984,25,19,0.76,0.5656994004476144,2.957021799639161,2,0.005952380952380931,0.30063605244263664,3.2457530901770357,False,True
1,0.30000000000000004,0.05,0.6499999999999999,368,0.5543478260869565,0.5609925438464092,0.7015183189558817,280,158,0.5642857142857143,0.5057233494283888,200,115,0.575,0.5057080512046821,2.6674192188272547,2,0.0022520268241417174,0.476361241327509,3.13927640650648,False,False
