id,fold,train_games,train_end,validation_start,games,accuracy,log_loss,brier,conf_55_games,conf_55_accuracy,conf_60_games,conf_60_accuracy
11,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5201793721973094,0.763447961140281,0.510944415576615,143,0.5734265734265734,29,0.6551724137931034
11,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5492957746478874,0.7944063246259803,0.5176708472880148,149,0.5906040268456376,23,0.6086956521739131
12,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5403587443946188,0.7644470565493924,0.5100881852136578,117,0.6324786324786325,10,0.4
12,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5375586854460094,0.793085782634765,0.5178732429254217,126,0.6031746031746031,8,0.75
13,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5381165919282511,0.7644467340755537,0.510922761266311,132,0.5984848484848485,18,0.6111111111111112
13,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5328638497652582,0.7939257365043364,0.517954837559246,137,0.5985401459854015,12,0.5833333333333334
14,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5246636771300448,0.7656238929443827,0.5122910889031108,148,0.581081081081081,22,0.6818181818181818
14,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5492957746478874,0.7946455971049002,0.5182014597247935,141,0.574468085106383,17,0.5882352941176471
15,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.531390134529148,0.76574526540079,0.5120020497809238,122,0.5573770491803278,18,0.6111111111111112
15,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5422535211267606,0.7927877996809077,0.5174688427549123,138,0.5797101449275363,18,0.6666666666666666
16,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5291479820627802,0.7657060771491642,0.5131539353756935,131,0.5572519083969466,29,0.5862068965517241
16,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5539906103286385,0.7937413337661691,0.5175407937560967,145,0.593103448275862,25,0.64
17,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5179372197309418,0.7669805746900493,0.5146313808879025,160,0.54375,40,0.575
17,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5633802816901409,0.7947860760557901,0.5176376615134876,148,0.5945945945945946,27,0.6296296296296297
18,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5381165919282511,0.7663376086912765,0.5119933135556337,112,0.6160714285714286,14,0.5714285714285714
18,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.528169014084507,0.7931774916951897,0.5178719374246792,131,0.5954198473282443,11,0.6363636363636364
19,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.531390134529148,0.7670050231966994,0.5132898694420887,140,0.5642857142857143,21,0.5238095238095238
19,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5422535211267606,0.7940913997752639,0.5179353052609548,136,0.6029411764705882,17,0.5882352941176471
20,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5179372197309418,0.769718484102301,0.5157870209178272,162,0.5308641975308642,36,0.5833333333333334
20,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5422535211267606,0.7948370504324118,0.518059830626133,143,0.5734265734265734,21,0.6190476190476191
