strategy,outer_fold,linear,tree,run,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,guardrails
hit_shrink50,1,0.27,0.355,0.375,368,0.5706521739130435,0.5655809460560872,0.6818386852785925,246,142,0.5772357723577236,0.514780560928532,125,77,0.616,0.5284885300554436,2.776171662694023,2,0.022797131147541005,0.4714498650454971,3.202027265444438,False,False
hit_shrink50,1,0.27,0.38,0.35,368,0.5788043478260869,0.5661544963322969,0.680815678866213,235,134,0.5702127659574469,0.5062896729918934,118,73,0.6186440677966102,0.5285752066363015,2.7700345822287633,2,0.02947943629565719,0.46499566253828867,3.1760713721757377,False,False
hit_shrink50,1,0.27,0.405,0.325,368,0.5815217391304348,0.5663356174721526,0.6799095537545758,225,130,0.5777777777777777,0.5124647492763669,108,66,0.6111111111111112,0.516864220923738,2.730144755288136,2,0.029845626072041165,0.4503286833116465,3.1207821864557004,False,False
hit_shrink50,1,0.27,0.43,0.30000000000000004,368,0.5869565217391305,0.5677543997343556,0.6791183630593957,218,129,0.591743119266055,0.5254552162781011,97,61,0.6288659793814433,0.52953581425912,2.7954924249708344,2,0.02978723404255318,0.46181189102759373,3.197729847913322,False,True
hit_shrink50,1,0.27,0.455,0.275,368,0.595108695652174,0.5683581368672079,0.678440379962684,213,128,0.6009389671361502,0.5339454014135943,81,49,0.6049382716049383,0.4960527758726388,2.6719976091022097,2,0.010073260073260093,0.4449404552817742,3.096791544237464,False,True
hit_shrink50,1,0.27,0.48000000000000004,0.24999999999999997,368,0.592391304347826,0.5690222477133455,0.6778740846032539,201,123,0.6119402985074627,0.5430733992882154,74,45,0.6081081081081081,0.49419310534999833,2.6734559389511268,2,0.0076923076923077205,0.4357241958151947,3.093795519381706,False,True
hit_shrink50,1,0.27,0.505,0.225,368,0.5869565217391305,0.5698674796993389,0.6774181528739647,191,117,0.612565445026178,0.541904609040019,70,41,0.5857142857142857,0.46881000069946455,2.570012529520712,2,0.009418509418509413,0.4080697369146003,2.959245247598293,False,True
hit_shrink50,1,0.27,0.53,0.19999999999999998,368,0.5869565217391305,0.5699882271259094,0.6770714469160515,187,115,0.6149732620320856,0.5435813134422366,62,37,0.5967741935483871,0.4725024243632989,2.586564493997821,2,0.03650793650793649,0.3731271947957688,2.886675815777717,False,True
hit_shrink50,1,0.27,0.5549999999999999,0.17500000000000002,368,0.5869565217391305,0.5712560751048993,0.6768330071395211,176,110,0.625,0.5515229616573151,53,33,0.6226415094339622,0.488066502360923,2.6571904965523987,2,0.0029761904761904656,0.40878295815501514,3.060021073755033,False,True
hit_shrink50,1,0.27,0.5800000000000001,0.15,368,0.5815217391304348,0.5721616808041778,0.6767020456311266,165,103,0.6242424242424243,0.5483064230373584,40,26,0.65,0.4950559699353738,2.681142745719969,2,0.009404388714733536,0.35379677689163724,3.016130745182139,False,True
hit_shrink50,1,0.29500000000000004,0.205,0.5,368,0.5543478260869565,0.562592447248468,0.6887207073505364,262,150,0.5725190839694656,0.5119918975858505,158,92,0.5822784810126582,0.5043167728851662,2.6711621470483395,2,0.007371794871794901,0.465690919708387,3.122109477013137,False,False
hit_shrink50,1,0.29500000000000004,0.22999999999999998,0.475,368,0.5625,0.5631056238113925,0.6870802688178241,262,151,0.5763358778625954,0.5158215946545855,150,89,0.5933333333333334,0.5133451744046799,2.713217925653158,2,0.006666666666666654,0.4736631066346822,3.173547698954507,False,False
hit_shrink50,1,0.29500000000000004,0.255,0.44999999999999996,368,0.5625,0.5631056238113925,0.6855702701641899,258,150,0.5813953488372093,0.5204341870728207,145,86,0.593103448275862,0.5117413202394682,2.711717101141273,2,0.004090563165905614,0.4744901519219834,3.178026126731445,False,False
hit_shrink50,1,0.29500000000000004,0.28,0.42499999999999993,368,0.5679347826086957,0.5639508557973858,0.6841873892786178,253,147,0.5810276679841897,0.5194622884821657,139,84,0.60431654676259,0.5212692719542503,2.7504741117043983,2,0.01304888152444078,0.47538570815444975,3.1997620568099667,False,False
