game_id,game_date,season,away,home,away_score,home_score,status,stadium,note
20240426-Samsung_Lions-Kiwoom_Heroes,2024-04-26 18:30:00,2024,Samsung Lions,Kiwoom Heroes,3.0,0.0,Final,고척,-
20240427-KIA_Tigers-LG_Twins,2024-04-27 14:00:00,2024,KIA Tigers,LG Twins,3.0,6.0,Final,잠실,-
20240427-Doosan_Bears-Hanwha_Eagles,2024-04-27 17:00:00,2024,Doosan Bears,Hanwha Eagles,5.0,10.0,Final,한밭,-
20240427-KT_Wiz-SSG_Landers,2024-04-27 17:00:00,2024,KT Wiz,SSG Landers,5.0,2.0,Final,문학,-
20240427-Lotte_Giants-NC_Dinos,2024-04-27 17:00:00,2024,Lotte Giants,NC Dinos,0.0,2.0,Final,창원,-
20240427-Samsung_Lions-Kiwoom_Heroes,2024-04-27 17:00:00,2024,Samsung Lions,Kiwoom Heroes,11.0,0.0,Final,고척,-
20240428-Doosan_Bears-Hanwha_Eagles,2024-04-28 14:00:00,2024,Doosan Bears,Hanwha Eagles,17.0,8.0,Final,한밭,-
20240428-KIA_Tigers-LG_Twins,2024-04-28 14:00:00,2024,KIA Tigers,LG Twins,10.0,7.0,Final,잠실,-
20240428-KT_Wiz-SSG_Landers,2024-04-28 14:00:00,2024,KT Wiz,SSG Landers,6.0,11.0,Final,문학,-
20240428-Lotte_Giants-NC_Dinos,2024-04-28 14:00:00,2024,Lotte Giants,NC Dinos,3.0,5.0,Final,창원,-
20240428-Samsung_Lions-Kiwoom_Heroes,2024-04-28 14:00:00,2024,Samsung Lions,Kiwoom Heroes,11.0,6.0,Final,고척,-
20240430-KT_Wiz-KIA_Tigers,2024-04-30 18:30:00,2024,KT Wiz,KIA Tigers,11.0,4.0,Final,광주,-
20240430-Kiwoom_Heroes-Lotte_Giants,2024-04-30 18:30:00,2024,Kiwoom Heroes,Lotte Giants,9.0,7.0,Final,사직,-
20240430-LG_Twins-NC_Dinos,2024-04-30 18:30:00,2024,LG Twins,NC Dinos,0.0,8.0,Final,창원,-
20240430-SSG_Landers-Hanwha_Eagles,2024-04-30 18:30:00,2024,SSG Landers,Hanwha Eagles,2.0,8.0,Final,한밭,-
20240430-Samsung_Lions-Doosan_Bears,2024-04-30 18:30:00,2024,Samsung Lions,Doosan Bears,0.0,4.0,Final,잠실,-
20240501-KT_Wiz-KIA_Tigers,2024-05-01 18:30:00,2024,KT Wiz,KIA Tigers,1.0,9.0,Final,광주,-
20240501-Kiwoom_Heroes-Lotte_Giants,2024-05-01 18:30:00,2024,Kiwoom Heroes,Lotte Giants,6.0,3.0,Final,사직,-
20240501-LG_Twins-NC_Dinos,2024-05-01 18:30:00,2024,LG Twins,NC Dinos,10.0,1.0,Final,창원,-
20240501-SSG_Landers-Hanwha_Eagles,2024-05-01 18:30:00,2024,SSG Landers,Hanwha Eagles,8.0,7.0,Final,한밭,-
20240501-Samsung_Lions-Doosan_Bears,2024-05-01 18:30:00,2024,Samsung Lions,Doosan Bears,9.0,2.0,Final,잠실,-
20240502-KT_Wiz-KIA_Tigers,2024-05-02 18:30:00,2024,KT Wiz,KIA Tigers,12.0,5.0,Final,광주,-
20240502-Kiwoom_Heroes-Lotte_Giants,2024-05-02 18:30:00,2024,Kiwoom Heroes,Lotte Giants,5.0,6.0,Final,사직,-
20240502-LG_Twins-NC_Dinos,2024-05-02 18:30:00,2024,LG Twins,NC Dinos,5.0,4.0,Final,창원,-
20240502-SSG_Landers-Hanwha_Eagles,2024-05-02 18:30:00,2024,SSG Landers,Hanwha Eagles,4.0,3.0,Final,한밭,-
20240502-Samsung_Lions-Doosan_Bears,2024-05-02 18:30:00,2024,Samsung Lions,Doosan Bears,4.0,2.0,Final,잠실,-
20240503-Doosan_Bears-LG_Twins,2024-05-03 18:30:00,2024,Doosan Bears,LG Twins,6.0,4.0,Final,잠실,-
20240503-Hanwha_Eagles-KIA_Tigers,2024-05-03 18:30:00,2024,Hanwha Eagles,KIA Tigers,4.0,2.0,Final,광주,-
20240503-Kiwoom_Heroes-KT_Wiz,2024-05-03 18:30:00,2024,Kiwoom Heroes,KT Wiz,1.0,2.0,Final,수원,-
20240503-Lotte_Giants-Samsung_Lions,2024-05-03 18:30:00,2024,Lotte Giants,Samsung Lions,8.0,7.0,Final,대구,-
20240503-NC_Dinos-SSG_Landers,2024-05-03 18:30:00,2024,NC Dinos,SSG Landers,19.0,5.0,Final,문학,-
20240504-Doosan_Bears-LG_Twins,2024-05-04 14:00:00,2024,Doosan Bears,LG Twins,3.0,2.0,Final,잠실,-
20240504-Hanwha_Eagles-KIA_Tigers,2024-05-04 17:00:00,2024,Hanwha Eagles,KIA Tigers,2.0,10.0,Final,광주,-
20240504-Kiwoom_Heroes-KT_Wiz,2024-05-04 17:00:00,2024,Kiwoom Heroes,KT Wiz,2.0,6.0,Final,수원,-
20240504-Lotte_Giants-Samsung_Lions,2024-05-04 17:00:00,2024,Lotte Giants,Samsung Lions,9.0,2.0,Final,대구,-
20240504-NC_Dinos-SSG_Landers,2024-05-04 17:00:00,2024,NC Dinos,SSG Landers,8.0,6.0,Final,문학,-
20240505-Doosan_Bears-LG_Twins,2024-05-05 14:00:00,2024,Doosan Bears,LG Twins,,,Postponed,잠실,우천취소
20240505-Hanwha_Eagles-KIA_Tigers,2024-05-05 14:00:00,2024,Hanwha Eagles,KIA Tigers,,,Postponed,광주,우천취소
20240505-Kiwoom_Heroes-KT_Wiz,2024-05-05 14:00:00,2024,Kiwoom Heroes,KT Wiz,,,Postponed,수원,우천취소
20240505-Lotte_Giants-Samsung_Lions,2024-05-05 14:00:00,2024,Lotte Giants,Samsung Lions,,,Postponed,대구,우천취소
20240505-NC_Dinos-SSG_Landers,2024-05-05 14:00:00,2024,NC Dinos,SSG Landers,,,Postponed,문학,우천취소
20240507-Doosan_Bears-Kiwoom_Heroes,2024-05-07 18:30:00,2024,Doosan Bears,Kiwoom Heroes,13.0,4.0,Final,고척,-
20240507-Hanwha_Eagles-Lotte_Giants,2024-05-07 18:30:00,2024,Hanwha Eagles,Lotte Giants,,,Postponed,사직,우천취소
20240507-KIA_Tigers-Samsung_Lions,2024-05-07 18:30:00,2024,KIA Tigers,Samsung Lions,,,Postponed,대구,우천취소
20240507-NC_Dinos-KT_Wiz,2024-05-07 18:30:00,2024,NC Dinos,KT Wiz,,,Postponed,수원,그라운드사정
