game_id,game_date,season,away,home,away_score,home_score,status,stadium,home_history_games,away_history_games,elo_home_prob,home_win_r20,away_win_r20,home_run_diff_r20,away_run_diff_r20,home_runs_for_r20,away_runs_for_r20,home_runs_against_r20,away_runs_against_r20,home_days_rest,away_days_rest,diff_win_r20,diff_run_diff_r20,diff_runs_for_r20,diff_runs_against_r20,diff_days_rest,result,total_runs
20240403-Yomiuri_Giants-Chunichi_Dragons,2024-04-03 18:00:00,2024,Yomiuri Giants,Chunichi Dragons,2.0,5.0,Final,バンテリンドーム,4,4,0.5185522925111068,0.375,0.5,-1.25,0.75,2.75,3.0,4.0,2.25,1.0,1.0,-0.125,-2.0,-0.25,1.75,0.0,home,7.0
20240403-Tohoku_Rakuten_Golden_Eagles-Hokkaido_Nippon-Ham_Fighters,2024-04-03 18:30:00,2024,Tohoku Rakuten Golden Eagles,Hokkaido Nippon-Ham Fighters,2.0,4.0,Final,エスコンＦ,4,4,0.5286321525473464,0.5,0.5,-0.25,-1.0,2.25,2.5,2.5,3.5,1.0,1.0,0.0,0.75,-0.25,-1.0,0.0,home,6.0
20240404-Orix_Buffaloes-Saitama_Seibu_Lions,2024-04-04 13:00:00,2024,Orix Buffaloes,Saitama Seibu Lions,2.0,1.0,Final,ベルーナドーム,5,5,0.6221671550330925,0.8,0.2,2.0,-1.4,3.4,1.2,1.4,2.6,1.0,1.0,0.6000000000000001,3.4,2.2,-1.2000000000000002,0.0,away,3.0
20240404-Chiba_Lotte_Marines-Fukuoka_SoftBank_Hawks,2024-04-04 18:00:00,2024,Chiba Lotte Marines,Fukuoka SoftBank Hawks,1.0,8.0,Final,PayPayドーム,5,5,0.5546421755530655,0.6,0.4,0.6,-0.2,2.4,2.0,1.8,2.2,1.0,1.0,0.19999999999999996,0.8,0.3999999999999999,-0.40000000000000013,0.0,home,9.0
20240404-Tokyo_Yakult_Swallows-Hiroshima_Toyo_Carp,2024-04-04 18:00:00,2024,Tokyo Yakult Swallows,Hiroshima Toyo Carp,3.0,6.0,Final,マツダスタジアム,4,4,0.5198629563707642,0.5,0.625,-0.25,1.25,2.75,3.5,3.0,2.25,2.0,2.0,-0.125,-1.5,-0.75,0.75,0.0,home,9.0
20240404-Yokohama_DeNA_BayStars-Hanshin_Tigers,2024-04-04 18:00:00,2024,Yokohama DeNA BayStars,Hanshin Tigers,3.0,2.0,Final,京セラD大阪,5,5,0.5111654941691804,0.4,0.6,-0.6,0.2,2.6,3.6,3.2,3.4,1.0,1.0,-0.19999999999999996,-0.8,-1.0,-0.19999999999999973,0.0,away,5.0
20240404-Yomiuri_Giants-Chunichi_Dragons,2024-04-04 18:00:00,2024,Yomiuri Giants,Chunichi Dragons,2.0,0.0,Final,バンテリンドーム,5,5,0.5527298199644575,0.5,0.4,-0.4,0.0,3.2,2.8,3.6,2.8,1.0,1.0,0.09999999999999998,-0.4,0.40000000000000036,0.8000000000000003,0.0,away,2.0
20240405-Chunichi_Dragons-Hiroshima_Toyo_Carp,2024-04-05 18:00:00,2024,Chunichi Dragons,Hiroshima Toyo Carp,1.0,0.0,Final,マツダスタジアム,5,6,0.5675657823709517,0.6,0.4166666666666667,0.4,-0.6666666666666666,3.4,2.6666666666666665,3.0,3.3333333333333335,1.0,1.0,0.1833333333333333,1.0666666666666667,0.7333333333333334,-0.3333333333333335,0.0,away,1.0
20240405-Fukuoka_SoftBank_Hawks-Tohoku_Rakuten_Golden_Eagles,2024-04-05 18:00:00,2024,Fukuoka SoftBank Hawks,Tohoku Rakuten Golden Eagles,6.0,1.0,Final,楽天モバイル,5,6,0.47711121687829955,0.4,0.6666666666666666,-1.2,1.6666666666666667,2.4,3.3333333333333335,3.6,1.6666666666666667,2.0,1.0,-0.2666666666666666,-2.8666666666666667,-0.9333333333333336,1.9333333333333333,1.0,away,7.0
20240405-Hanshin_Tigers-Tokyo_Yakult_Swallows,2024-04-05 18:00:00,2024,Hanshin Tigers,Tokyo Yakult Swallows,7.0,6.0,Final,神 宮,5,6,0.5517293134482382,0.5,0.3333333333333333,0.4,-0.6666666666666666,3.4,2.5,3.0,3.1666666666666665,1.0,1.0,0.16666666666666669,1.0666666666666667,0.8999999999999999,-0.16666666666666652,0.0,away,13.0
